"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2000",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,Teban Gardens,"20,360","1,180","1,450","1,360","1,540","1,850","1,960","1,580","1,590","1,600","1,790","1,720",900,680,470,330,180,110,80,,,
,Toh Guan,"14,400","1,280","1,020","1,340","1,130",860,"1,170","1,440","1,590","1,610","1,180",670,300,250,230,170,100,50,30,,,
,Yuhua,"31,100","1,700","2,170","2,190","2,420","2,550","2,810","2,520","2,580","2,880","2,830","2,220","1,280","1,010",780,540,300,190,140,,,
Jurong West,Total,"204,750","16,330","17,230","15,670","14,470","14,790","18,600","20,590","20,390","18,770","16,280","11,670","6,270","4,740","3,520","2,470","1,480",850,650,,,
,Boon Lay,"25,430","1,790","2,000","1,560","1,550","2,080","2,680","2,680","2,350","1,960","1,850","1,680","1,080",800,600,400,210,110,70,,,
,Bulim,220,10,-,10,10,10,10,10,20,10,10,10,10,10,10,10,20,20,40,,,
,Central,"29,160","2,700","1,700","2,410","2,190","1,970","3,130","3,030","3,000","2,990","2,380","1,440",610,500,390,320,200,120,80,,,
,Chin Bee,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hong Kah,"57,590","3,440","4,280","4,630","4,680","4,570","5,190","4,790","5,000","5,420","5,280","3,900","2,110","1,560","1,090",700,420,290,230,,,
,Kian Teck,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Safti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Taman Jurong,"29,410","2,650","2,280","2,150","1,930","1,860","2,550","3,290","2,910","2,710","2,200","1,580",940,730,660,490,270,130,90,,,
,Yunnan,"62,900","5,750","6,960","4,900","4,120","4,300","5,030","6,780","7,110","5,680","4,560","3,060","1,510","1,140",770,550,360,190,140,,,
Kallang,Total,"92,220","4,610","5,380","4,940","5,070","6,010","7,660","7,330","7,840","8,010","7,530","6,740","4,660","4,820","4,060","3,470","2,020","1,190",890,,,
,Bendemeer,"30,990","1,520","1,870","1,860","1,880","2,140","2,530","2,410","2,550","2,910","2,660","2,270","1,470","1,430","1,220","1,030",580,380,280,,,
,Boon Keng,"10,530",550,650,490,570,750,930,900,950,910,790,720,470,560,470,400,220,130,90,,,
,Crawford,"9,950",370,480,370,440,590,810,640,700,700,760,780,660,720,640,600,350,190,160,,,
,Geylang Bahru,"13,850",780,800,720,720,880,"1,270","1,250","1,250","1,130","1,030",880,720,750,650,490,280,160,110,,,
,Kallang Bahru,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Bugis,960,40,70,70,60,80,80,40,80,100,100,80,50,20,20,20,20,10,10,,,
,Kampong Java,"9,890",550,600,510,510,690,790,790,880,830,840,810,480,490,350,310,240,140,100,,,
,Lavender,"7,990",310,390,400,400,490,630,550,570,610,640,660,490,520,450,440,230,110,90,,,
,Tanjong Rhu,"8,040",490,520,510,480,390,620,740,860,820,710,530,330,330,270,200,110,70,50,,,
Lim Chu Kang,Total,320,20,10,10,30,40,30,20,20,30,40,40,20,10,-,10,-,-,10,,,
,Lim Chu Kang,320,20,10,10,30,40,30,20,20,30,40,40,20,10,-,10,-,-,10,,,
Mandai,Total,990,60,80,80,70,90,80,70,90,80,80,100,50,30,30,20,10,10,10,,,
,Subzone 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Subzone 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Subzone 3,990,60,80,80,70,90,80,70,90,80,80,100,50,30,30,20,10,10,10,,,
Marina East,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina South,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Subzone 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marine Parade,Total,"46,260","2,230","3,060","2,780","2,580","2,910","3,730","3,360","3,940","4,120","3,750","3,580","2,540","2,400","1,890","1,560",920,550,350,,,
,East Coast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Katong,"7,730",400,580,490,450,420,520,540,700,740,700,580,330,340,300,300,160,110,60,,,
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marine Parade,"29,550","1,370","1,830","1,640","1,520","1,910","2,600","2,240","2,450","2,510","2,230","2,230","1,780","1,700","1,340","1,020",620,350,210,,,
,Mountbatten,"8,980",470,650,660,600,580,620,590,790,860,830,780,430,360,250,240,140,90,70,,,
Museum,Total,260,10,10,10,10,10,10,20,20,20,20,20,20,20,30,30,20,-,10,,,
,Bras Basah,150,10,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,,,
,Dhoby Ghaut,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Fort Canning,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Newton,Total,"6,110",270,350,360,320,330,450,490,570,570,570,560,330,290,250,170,120,60,60,,,
,Cairnhill,"3,450",150,180,190,180,200,270,270,310,310,320,320,210,170,140,100,80,30,30,,,
,Goodwood Park,470,30,40,50,30,20,30,30,40,60,60,40,20,10,10,10,10,-,10,,,
,Istana Negara,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Monk's Hill,"1,170",60,70,50,50,70,90,120,110,110,90,100,50,60,50,40,20,10,20,,,
,Newton Circus,160,10,10,10,10,10,20,20,20,20,20,10,10,-,10,-,-,-,-,,,
,Orange Grove,830,30,50,60,50,30,50,50,80,80,90,100,50,40,30,20,10,10,-,,,
North Eastern Islands,Total,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Subzone 1,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Novena,Total,"42,840","2,190","2,840","2,590","2,350","2,610","3,290","3,330","3,900","4,020","3,670","3,080","2,120","2,000","1,670","1,360",830,550,450,,,
,Balestier,"31,500","1,630","2,040","1,800","1,660","2,000","2,580","2,590","2,860","2,910","2,530","2,160","1,590","1,520","1,260","1,020",590,400,350,,,
,Dunearn,"3,320",170,230,230,200,170,220,230,280,280,320,280,160,170,150,90,80,40,30,,,
,Malcolm,"2,500",110,180,180,150,130,140,130,210,270,250,230,110,100,90,90,60,30,30,,,
,Moulmein,"4,980",260,360,340,300,280,320,340,500,510,520,380,230,200,150,130,80,60,40,,,
,Mount Pleasant,540,20,30,40,30,30,30,30,50,60,50,40,30,30,20,20,10,10,10,,,
Orchard,Total,590,20,40,30,30,30,40,40,50,70,60,50,40,30,20,20,10,10,10,,,
,Boulevard,300,-,20,10,20,20,20,20,20,40,30,30,20,20,10,10,10,-,-,,,
,Somerset,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanglin,210,10,20,20,10,-,10,10,20,20,20,20,10,10,10,10,-,10,-,,,
Outram,Total,"22,200",800,960,850,990,"1,350","1,790","1,580","1,620","1,760","1,680","1,780","1,370","1,510","1,320","1,180",730,480,460,,,
,China Square,"2,450",100,90,100,130,200,230,180,190,190,230,200,160,120,120,100,50,40,40,,,
,Chinatown,"8,170",270,330,290,380,530,670,600,610,600,570,650,520,580,500,450,270,200,170,,,
,Pearl's Hill,"11,150",420,510,440,460,590,840,780,790,940,850,890,680,780,690,630,400,240,250,,,
,People's Park,420,10,20,20,20,30,50,40,30,40,40,40,20,20,20,10,-,-,-,,,
Pasir Ris,Total,"116,680","12,940","14,250","8,460","5,870","5,180","7,360","13,910","16,200","11,350","7,370","4,660","2,410","2,120","1,800","1,310",800,420,290,,,
,Elias,"29,100","4,160","2,930","1,800","1,260","1,000","1,820","4,770","4,320","2,490","1,530",870,540,540,440,280,180,110,50,,,
,Loyang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Loyang East,"7,790",570,710,770,510,390,360,600,960,950,740,460,220,150,130,120,80,40,40,,,
,Pasir Ris Drive,"58,660","5,950","7,940","4,380","3,060","2,870","3,970","6,180","7,880","5,720","3,680","2,460","1,220","1,050",900,670,400,200,140,,,
,Pasir Ris Park,840,80,90,70,50,40,40,80,130,100,70,50,20,10,10,10,-,-,-,,,
,Pasir Ris Town,"20,290","2,160","2,570","1,440",990,890,"1,170","2,280","2,910","2,090","1,350",820,420,380,320,230,140,70,60,,,
,Pasir Ris West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Paya Lebar,Total,140,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,,,
,Airport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Paya Lebar East,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Paya Lebar North,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Paya Lebar West,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Punggol,Total,240,10,20,20,10,20,20,20,20,20,30,20,10,10,10,-,-,-,-,,,
,Punggol East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
